"metric","value"
"Cohort n","178"
"Events (distant relapse)","64"
"MAP3K8 cutoff (median log2)","6.852"
"Full cohort: HR high vs low","1.80 (1.09-2.98)"
"Full cohort: log-rank P","0.0196"
"Adjusted (age + stage + RCB): HR high vs low","1.71 (1.00-2.94)"
"Adjusted: P","0.0504"
"RCB-0/I subgroup: HR high vs low","5.68 (0.58-55.18)"
"RCB-0/I subgroup: log-rank P","0.0995"
"RCB-II/III subgroup: HR high vs low","2.13 (1.16-3.90)"
"RCB-II/III subgroup: log-rank P","0.0127"
"Cumulative relapse @ 60mo (MAP3K8-high)","50.5%"
"Cumulative relapse @ 60mo (MAP3K8-low)","34.8%"
